Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Varones;Total;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;2.423,0
CIFRAS ABSOLUTAS;Varones;Total;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;3.636,8
CIFRAS ABSOLUTAS;Varones;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;755,2
CIFRAS ABSOLUTAS;Varones;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;1.586,7
CIFRAS ABSOLUTAS;Varones;Total;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;2.610,5
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Copas de vino, champagne o cava;Total;1.189,2
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;36,8
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;174,3
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;65,5
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Copas de vino, champagne o cava;Menos de 1 día al mes;397,4
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;515,2
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Total;1.189,2
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;146,3
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;599,6
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;104,7
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;237,9
CIFRAS ABSOLUTAS;Varones;De 16 a 24 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;100,7
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Copas de vino, champagne o cava;Total;2.282,3
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;283,1
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;385,9
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;148,8
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Copas de vino, champagne o cava;Menos de 1 día al mes;574,8
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;889,7
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Total;2.282,3
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;452,0
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;1.014,6
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;222,9
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;310,7
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;282,1
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Copas de vino, champagne o cava;Total;2.392,2
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;633,1
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;515,9
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;147,1
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Copas de vino, champagne o cava;Menos de 1 día al mes;412,2
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;684,0
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Total;2.392,2
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;717,0
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;874,2
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;161,2
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;285,7
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;354,2
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Copas de vino, champagne o cava;Total;1.915,2
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;819,8
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;317,3
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;120,3
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Copas de vino, champagne o cava;Menos de 1 día al mes;245,6
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;412,1
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Total;1.915,2
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;539,0
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;550,8
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;110,5
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;233,0
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;481,9
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Copas de vino, champagne o cava;Total;1.454,1
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;818,5
