bodega,vino,anio,calificacion,num_resenas,region,precio,tipo,cuerpo,acidez,id_vino
Dehesa de Los Canonigos,Crianza,2018,4.2,528,Ribera del Duero,18.9,Ribera del Duero Tinto,5.0,3.0,1931
Palacios Remondo,Propiedad  Rioja,2017,4.2,527,Rioja,25.9,Rioja Tinto,4.0,3.0,1932
Dehesa de Los Canonigos,Crianza,2017,4.2,520,Ribera del Duero,18.25,Ribera del Duero Tinto,5.0,3.0,1933
Bodegas Faustino,Reserva Especial Icon Edition,2014,4.2,519,Rioja,23.89,Rioja Tinto,4.0,3.0,1934
Fernando de Castilla,Antique Palo Cortado,N.V.,4.2,519,Jerez Palo Cortado,36.9,Jerez,4.0,3.0,1935
Matsu,El Viejo,2017,4.2,518,Toro,33.9,Toro Tinto,5.0,3.0,1936
Lan,Vina Lanciano Reserva,2015,4.2,514,Rioja,14.6,Rioja Tinto,4.0,3.0,1937
Anima Negra,An,2016,4.2,513,Mallorca,139.9,Tinto,4.0,3.0,1938
Bodegas Mas Alta,Artigas,2017,4.2,505,Priorato,20.9,Priorat Tinto,4.0,3.0,1939
Vinicola Real,200 Monges Rioja Reserva,2005,4.2,499,Rioja,48.0,Rioja Tinto,4.0,3.0,1940
Contino,Rioja Gran Reserva,2011,4.2,490,Rioja,39.5,Rioja Tinto,4.0,3.0,1941
Sei Solo,Preludio,2018,4.2,488,Ribera del Duero,24.5,Ribera del Duero Tinto,5.0,3.0,1942
Williams & Humbert,Jalifa Amontillado Rare Old Dry Solera Especial Aged 30 Years,N.V.,4.2,487,Jerez Amontillado,33.5,Jerez,4.0,3.0,1943
Tridente,Rejon Tempranillo,2012,4.2,485,Castilla y Leon,36.97,Tempranillo,4.0,2.0,1944
Emilio Moro,La Felisa,2018,4.2,483,Ribera del Duero,26.3,Ribera del Duero Tinto,5.0,3.0,1945
Emilio Moro,La Revelia Godello,2018,4.2,484,Bierzo,21.95,D.O. Bierzo,3.0,4.0,1946
Valderiz,Tinto,2018,4.2,481,Ribera del Duero,21.5,Ribera del Duero Tinto,5.0,3.0,1947
Lan,A Mano Rioja,2009,4.2,480,Rioja,28.95,Rioja Tinto,4.0,3.0,1948
Familia Torres,Milmanda,2015,4.2,473,Conca de Barbera,126.2,Chardonnay,4.0,3.0,1949
Terras Gauda,Terras Gauda O Rosal,2021,4.2,466,Rias Baixas,11.9,Albarino,3.0,3.0,1950
Pazo Senorans,Seleccion de Anada Albarino Rias Baixas,2008,4.2,459,Rias Baixas,37.9,Albarino,3.0,3.0,1951
Muga,Seleccion Especial (Reserva),2004,4.2,447,Rioja,65.0,Rioja Tinto,4.0,3.0,1952
Bohorquez,Reserva,2009,4.2,442,Ribera del Duero,21.65,Ribera del Duero Tinto,5.0,3.0,1953
Abadal,3.9,2016,4.2,441,Pla de Bages,22.95,Tinto,4.0,3.0,1954
Mar de Frades,Rias Baixas Albarino Atlantico,2021,4.2,439,Rias Baixas,14.8,Albarino,3.0,3.0,1955
Adega Familiar Eladio Pineiro,Envidiacochina (Tete de Cuvee),2019,4.2,438,Rias Baixas,18.46,Albarino,3.0,3.0,1956
Pradorey,Adaro,2017,4.2,436,Ribera del Duero,16.45,Ribera del Duero Tinto,5.0,3.0,1957
Montecastro,Ribera del Duero Red,2017,4.2,433,Ribera del Duero,16.9,Ribera del Duero Tinto,5.0,3.0,1958
Portal del Priorat,Clos del Portal Negre de Negres,2018,4.2,429,Priorato,21.7,Priorat Tinto,4.0,3.0,1959
Castillo Perelada,Monastrell - Syrah Finca Espolla,2016,4.2,424,Emporda,13.95,Tinto,4.0,3.0,1960
Castano,Casa Cisca Monastrell,2011,4.2,423,Yecla,32.0,Monastrell,5.0,3.0,1961
Ramon do Casar,Treixadura,2020,4.2,407,Ribeiro,11.95,D.O. Ribeiro,3.0,3.0,1962
Binigrau,Nounat,2020,4.2,404,Mallorca,19.9,V.T. Mallorca ,2.0,3.0,1963
La Vicalanda,Reserva,2015,4.2,420,Rioja,17.5,Rioja Tinto,4.0,3.0,1964
Enrique Mendoza,Santa Rosa,2017,4.2,420,Alicante,18.9,Tinto,4.0,3.0,1965
Clos Pons,Roc Nu,2011,4.2,420,Costers del Segre,23.95,Tinto,4.0,3.0,1966
Sierra Cantabria,Coleccion Privada,2012,4.2,420,Rioja,28.3,Rioja Tinto,4.0,3.0,1967
Imperial,Rioja Reserva,2004,4.2,417,Rioja,45.0,Rioja Tinto,4.0,3.0,1968
Losada,Altos de Losada,2018,4.2,415,Bierzo,17.9,Mencia,3.0,3.0,1969
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,4.2,414,Rias Baixas,16.78,Albarino,3.0,3.0,1970
La Rioja Alta,Vina Alberdi Crianza,2018,4.2,410,Rioja,13.58,Rioja Tinto,4.0,3.0,1971
Bodegas La Horra,Corimbo I,2015,4.2,412,Ribera del Duero,37.9,Ribera del Duero Tinto,5.0,3.0,1972
Vina Pedrosa,Gran Reserva,2011,4.2,410,Ribera del Duero,51.35,Ribera del Duero Tinto,5.0,3.0,1973
Campillo,Gran Reserva Rioja,2012,4.2,410,Rioja,22.99,Rioja Tinto,4.0,3.0,1974
Lustau,Candela Cream Dulce Sweet,N.V.,4.2,405,Jerez-Xeres-Sherry,7.1,Jerez,4.0,3.0,1975
Portal del Priorat,Clos del Portal Somni,2014,4.2,404,Priorato,77.36,Priorat Tinto,4.0,3.0,1976
Ramon Bilbao,Mirto,2011,4.2,402,Rioja,28.53,Rioja Tinto,4.0,3.0,1977
Matsu,El Viejo,2019,4.2,400,Toro,27.89,Toro Tinto,5.0,3.0,1978
Artadi,Valdegines,2016,4.2,398,Rioja Alavesa,48.96,Tempranillo,4.0,2.0,1979
Contino,Rioja Graciano,2011,4.2,395,Rioja,61.94,Rioja Tinto,4.0,3.0,1980
Contino,Reserva,2016,4.2,392,Rioja,19.98,Rioja Tinto,4.0,3.0,1981
Conreria d'Scala Dei,Les Brugueres,2018,4.2,390,Priorato,16.76,Priorat Tinto,4.0,3.0,1982
Mustiguillo,Finca Terrerazo,2017,4.2,390,El Terrerazo,24.45,Tinto,4.0,3.0,1983
Matarromera,Gran Reserva,2011,4.2,389,Ribera del Duero,64.5,Ribera del Duero Tinto,5.0,3.0,1984
Sei Solo,Preludio,2016,4.2,388,Ribera del Duero,31.63,Ribera del Duero Tinto,5.0,3.0,1985
Vinedos de Paganos,El Puntido,2005,4.2,384,Rioja,73.0,Rioja Tinto,4.0,3.0,1986
Remirez de Ganuza,Rioja Blanco,2017,4.2,421,Rioja,29.15,Rioja Blanco,3.0,4.0,1987
